dataset,encoder,representation,k_shot,n_way,q_query,episodes,seed,accuracy_mean,ci95,notes
thai_fingerspelling,mlp,raw,1,5,15,600,42,0.515778,0.009799,no-pretrain
thai_fingerspelling,mlp,raw,3,5,15,600,42,0.589067,0.009558,no-pretrain
thai_fingerspelling,mlp,raw,5,5,15,600,42,0.618578,0.0091,no-pretrain
thai_fingerspelling,mlp,angle,1,5,15,600,42,0.593511,0.011208,no-pretrain
thai_fingerspelling,mlp,angle,3,5,15,600,42,0.655333,0.010389,no-pretrain
thai_fingerspelling,mlp,angle,5,5,15,600,42,0.670622,0.010545,no-pretrain
thai_fingerspelling,mlp,raw_angle,1,5,15,600,42,0.555978,0.01044,no-pretrain
thai_fingerspelling,mlp,raw_angle,3,5,15,600,42,0.636489,0.010116,no-pretrain
thai_fingerspelling,mlp,raw_angle,5,5,15,600,42,0.661511,0.009642,no-pretrain
thai_fingerspelling,transformer,raw,1,5,15,600,42,0.424467,0.009065,no-pretrain
thai_fingerspelling,transformer,raw,3,5,15,600,42,0.459422,0.009218,no-pretrain
thai_fingerspelling,transformer,raw,5,5,15,600,42,0.474089,0.008906,no-pretrain
thai_fingerspelling,transformer,angle,1,5,15,600,42,0.581822,0.01096,no-pretrain
thai_fingerspelling,transformer,angle,3,5,15,600,42,0.6472,0.010611,no-pretrain
thai_fingerspelling,transformer,angle,5,5,15,600,42,0.661,0.010539,no-pretrain
thai_fingerspelling,transformer,raw_angle,1,5,15,600,42,0.549378,0.010031,no-pretrain
thai_fingerspelling,transformer,raw_angle,3,5,15,600,42,0.609644,0.010094,no-pretrain
thai_fingerspelling,transformer,raw_angle,5,5,15,600,42,0.627889,0.009962,no-pretrain
